Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Check
Covid,Ho,Sốt cao,Mệt mỏi,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất vị giác,Mệt mỏi,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Sốt cao,Ho,Mệt mỏi,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mệt mỏi,Mất khứu giác,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất khứu giác,Mệt mỏi,Sốt cao,Ho,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Mất vị giác,Ho,Mệt mỏi,Sốt cao,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Covid,Sốt cao,Mệt mỏi,Ho,Mất vị giác,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,true
Sốt xuất huyết,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,Nổi mẫn đỏ,null,null,null,null,true
Sốt xuất huyết,Phát ban,Ớn lạnh,Đau khớp,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Chán ăn,Đau sau mắt,Đau lưng,Khó chịu,Đau cơ,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Bồn chồn,Uể oải,ĐƯờng huyết không ổn định,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Tiểu đường,Mệt mỏi,Sụt cân,Bồn chồn,Uể oải,Mờ mắt,Béo phì,Đói quá mức,Thèm ăn,Đa niệu,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau khi đại tiện,Đau hậu môn,Đi ngoài ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Bệnh trĩ,Táo bón,Đau hậu môn,Đi ngoài ra máu,Ngứa rát vùng hậu môn,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Phát ban,Đau dạ dày,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Đau dạ dày,Tiểu buốt,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Đau dạ dày,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Đau dạ dày,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Phản ứng với thuốc,Ngứa,Phát ban,Đau dạ dày,Tiểu buốt,Tiểu ra máu,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm nấm,Ngứa,Phát ban,Phát ban nốt,Đốm sắc tố,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm nấm,Ngứa,Phát ban,Đốm sắc tố,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm nấm,Phát ban,Phát ban nốt,Đốm sắc tố,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm nấm,Ngứa,Phát ban nốt,Đốm sắc tố,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm nấm,Ngứa,Phát ban,Phát ban nốt,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Tăng axit,Nôn mửa,Ho,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Tăng axit,Phát ban họng,Ho,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Tăng axit,Phát ban họng,Nôn mửa,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Tăng axit,Phát ban họng,Nôn mửa,Ho,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Tăng axit,Phát ban họng,Nôn mửa,Ho,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Tăng axit,Phát ban họng,Nôn mửa,Ho,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,true
Trào ngược dạ dày thực quản,Đau dạ dày,Phát ban họng,Nôn mửa,Ho,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm dạ dày ruột,Nôn mửa,Mất nước,Tiêu chảy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm dạ dày ruột,Nôn mửa,Mắt trũng sâu,Tiêu chảy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm dạ dày ruột,Nôn mửa,Mắt trũng sâu,Mất nước,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm dạ dày ruột,Nôn mửa,Mắt trũng sâu,Mất nước,Tiêu chảy,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm dạ dày ruột,Mắt trũng sâu,Mất nước,Tiêu chảy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Đau tim,Nôn mửa,Khó thở,Đổ mồ hôi,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Đau tim,Khó thở,Đổ mồ hôi,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Đau tim,Nôn mửa,Khó thở,Đổ mồ hôi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Đau tim,Nôn mửa,Khó thở,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Đau tim,Nôn mửa,Đổ mồ hôi,Đau ngực,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Khó chịu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Đau bụng,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan A,Đau khớp,Nôn mửa,Vàng da,Nước tiểu đậm màu,Khó chịu,Chán ăn,Tiêu chảy,Sốt nhẹ,Mắt vàng,Đau cơ,null,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Nước tiểu đậm màu,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Vàng da,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Vàng da,Nước tiểu đậm màu,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Vàng da,Nước tiểu đậm màu,Chán ăn,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Ngứa,Mệt mỏi,Uể oải,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,true
Viêm gan B,Ngứa,Uể oải,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan B,Mệt mỏi,Uể oải,Vàng da,Nước tiểu đậm màu,Chán ăn,Đau bụng,Nước tiểu vàng,Mắt vàng,Khó chịu,Từng được truyền máu,Sử dụng kim tiêm không vệ sinh,null,null,null,null,null,null,true
Viêm gan C,Mệt mỏi,Vàng da,Chán ăn,Mắt vàng,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan C,Mệt mỏi,Vàng da,Khó chịu,Chán ăn,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan C,Mệt mỏi,Vàng da,Khó chịu,Chán ăn,Mắt vàng,Di truyển,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan C,Vàng da,Khó chịu,Chán ăn,Mắt vàng,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan C,Mệt mỏi,Khó chịu,Chán ăn,Mắt vàng,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
Viêm gan C,Mệt mỏi,Vàng da,Khó chịu,Mắt vàng,Di truyển,null,null,null,null,null,null,null,null,null,null,null,null,true
